"ID";"segment";"start";"end";"med_pit";"P5_pit";"P95_pit";"class";"N_syllables";"dur";"speed"
215014103;112;431.41;433.95;257.09;191.52;292.46;"patient";16;2.53999999999996;6.29921259842529
215014103;115;440.22;443.58;212.24;160.73;271.06;"patient";25;3.35999999999996;7.44047619047629
215014103;2;11.4;19.31;225.08;167.98;281.96;"therapist";39;7.91;4.93046776232617
215014103;4;28.13;37.66;227.24;168.09;278.28;"therapist";54;9.53;5.66631689401889
215014103;6;40.34;45.82;202.35;173.55;240.47;"therapist";26;5.48;4.74452554744526
215014103;8;49.78;55.68;215.75;172.23;252.98;"therapist";26;5.9;4.40677966101695
215014103;10;62.34;65.98;207.37;179.79;324.62;"therapist";20;3.64;5.49450549450549
215014103;12;71.95;73.97;238.1;156.99;362.72;"therapist";10;2.02;4.95049504950496
215014103;14;80.9;91.07;229.13;180.13;301.62;"therapist";53;10.17;5.21140609636185
215014103;16;94.38;98.37;232.82;179.03;318.32;"therapist";22;3.99000000000001;5.51378446115287
215014103;18;102.54;106.46;240.98;181.22;325.3;"therapist";15;3.91999999999999;3.82653061224491
215014103;20;110.07;116.33;239.75;180.02;302.9;"therapist";36;6.26000000000001;5.75079872204472
215014103;22;119.13;124.13;236.11;200.32;313.06;"therapist";31;5;6.2
215014103;24;128.42;130.54;210.26;187.26;290.22;"therapist";12;2.12;5.66037735849055
215014103;26;134.24;140.85;214.17;185.19;338.6;"therapist";31;6.60999999999999;4.68986384266264
215014103;28;142.92;146.46;258.54;189.31;286.15;"therapist";19;3.54000000000002;5.36723163841805
215014103;30;149.48;151.65;240.96;218.62;321.96;"therapist";11;2.17000000000002;5.0691244239631
215014103;32;157.71;160.62;246.02;212.87;282.62;"therapist";11;2.91;3.78006872852234
215014103;34;161.84;164.93;196.21;166.01;224.98;"therapist";13;3.09;4.20711974110032
215014103;37;168.67;172.04;181.69;151.22;219.36;"therapist";5;3.37;1.48367952522255
215014103;39;173.33;179.83;183.92;155.31;209.79;"therapist";5;6.5;0.769230769230769
215014103;41;181.96;184.42;185.49;168.76;203.42;"therapist";10;2.45999999999998;4.06504065040654
215014103;43;186.47;190.93;197.41;166.38;272.08;"therapist";10;4.46000000000001;2.24215246636771
215014103;45;195.43;202.68;188.06;157.75;208.07;"therapist";21;7.25;2.89655172413793
215014103;47;205.72;209.58;189.8;162.05;242.64;"therapist";14;3.86000000000001;3.62694300518133
215014103;49;212;216.62;189.98;158.37;237.06;"therapist";10;4.62;2.16450216450216
215014103;51;219.45;223.84;192.14;161.92;227.26;"therapist";13;4.39000000000001;2.96127562642368
215014103;53;227.78;233.09;188.74;160.39;219.34;"therapist";15;5.31;2.82485875706215
215014103;55;236.63;240.98;190.03;157.75;236.87;"therapist";18;4.34999999999999;4.13793103448276
215014103;57;244.88;247.2;180.94;157.19;257.34;"therapist";20;2.31999999999999;8.62068965517244
215014103;60;251.77;254.54;201.65;168.16;249.92;"therapist";NA;2.76999999999998;NA
215014103;62;256.61;258.3;181.21;163.76;241.53;"therapist";9;1.69;5.32544378698226
215014103;64;267.97;272.07;190.42;166.3;234;"therapist";44;4.09999999999997;10.7317073170733
215014103;67;275.3;280.56;185.91;154.84;243.41;"therapist";15;5.25999999999999;2.85171102661597
215014103;69;286.17;291.61;197.93;164.14;238.16;"therapist";23;5.44;4.22794117647059
215014103;71;295.01;298.48;184.15;162.97;231.66;"therapist";16;3.47000000000003;4.6109510086455
215014103;73;305.58;311.28;178;155.51;252.45;"therapist";34;5.69999999999999;5.96491228070177
215014103;75;317.87;320.29;198.37;174.76;246.52;"therapist";35;2.42000000000002;14.4628099173553
215014103;77;325;329.57;183.98;161.88;217.27;"therapist";16;4.56999999999999;3.50109409190373
215014103;79;333.27;335.17;177.09;166.44;268.06;"therapist";16;1.90000000000003;8.4210526315788
215014103;81;340.3;342.25;214.28;177.23;249.29;"therapist";28;1.94999999999999;14.3589743589744
215014103;83;349.27;352.61;193.11;168.92;218.09;"therapist";32;3.34000000000003;9.5808383233532
215014103;85;355.85;360.43;189.05;166.56;237.59;"therapist";13;4.57999999999998;2.83842794759826
215014103;87;363.42;365.29;190.08;162.59;211;"therapist";15;1.87;8.02139037433153
215014103;89;367.94;369.57;197.68;166.41;212.09;"therapist";14;1.63;8.58895705521475
215014103;91;374.61;376.6;206.19;180.96;227.22;"therapist";23;1.99000000000001;11.5577889447236
215014103;93;378.55;381;183.71;160.96;230.53;"therapist";10;2.44999999999999;4.08163265306124
215014103;95;385.66;387.37;190.25;166.12;205.87;"therapist";21;1.70999999999998;12.2807017543861
215014103;97;391.02;393.08;190.79;163.55;222.23;"therapist";22;2.06;10.6796116504854
215014103;99;395.83;397.86;189.72;171.52;244.79;"therapist";16;2.03000000000003;7.88177339901466
215014103;101;399.92;405.98;211.95;170.3;233.14;"therapist";11;6.06;1.81518151815181
215014103;104;407.94;415.1;184.69;163.79;213.28;"therapist";NA;7.16000000000003;NA
215014103;106;418.13;420.23;202.42;160.61;227.64;"therapist";11;2.10000000000002;5.23809523809518
215014103;108;422.79;425.8;191.23;161.29;231.46;"therapist";16;3.00999999999999;5.31561461794022
215014103;111;427.46;431.41;208.85;170.35;230.68;"therapist";NA;3.95000000000005;NA
215014103;114;434.32;440.22;222.95;174.83;254.54;"therapist";NA;5.90000000000003;NA
215014103;116;NA;NA;NA;NA;NA;NA;9;NA;NA
